Query,Restaurant,Relevance Score
Suggest a restaurant that's always full of surprises.,Louisiana Bistro,3
Suggest a restaurant that's always full of surprises.,Stella!,3
Suggest a restaurant that's always full of surprises.,Booty's Street Food,3
Suggest a restaurant that's always full of surprises.,Restaurant August,3
Suggest a restaurant that's always full of surprises.,Coquette,3
Suggest a restaurant that's always full of surprises.,Bayona,2
Suggest a restaurant that's always full of surprises.,Brigtsen's Restaurant,3
Suggest a restaurant that's always full of surprises.,Compère Lapin,3
Suggest a restaurant that's always full of surprises.,Green Goddess,3
Suggest a restaurant that's always full of surprises.,Lilette,2
Suggest a restaurant that's always full of surprises.,Josephine Estelle,1
Suggest a restaurant that's always full of surprises.,Restaurant R'evolution,3
Suggest a restaurant that's always full of surprises.,Gris-Gris,3
Suggest a restaurant that's always full of surprises.,Dick & Jenny's,3
Suggest a restaurant that's always full of surprises.,Root,3
Suggest a restaurant that's always full of surprises.,Paladar 511,3
Suggest a restaurant that's always full of surprises.,El Gato Negro,2
Suggest a restaurant that's always full of surprises.,K-Paul's Louisiana Kitchen,3
Suggest a restaurant that's always full of surprises.,Dooky Chase's Restaurant,3
Suggest a restaurant that's always full of surprises.,La Boca,2
Suggest a restaurant that's always full of surprises.,Upperline,2
Suggest a restaurant that's always full of surprises.,Cafe Degas,2
Suggest a restaurant that's always full of surprises.,Cowbell,3
Suggest a restaurant that's always full of surprises.,Vessel NOLA,2
Suggest a restaurant that's always full of surprises.,Herbsaint,2
Suggest a restaurant that's always full of surprises.,Patois Restaurant,2
Suggest a restaurant that's always full of surprises.,Juan's Flying Burrito,3
Suggest a restaurant that's always full of surprises.,Boucherie,3
Suggest a restaurant that's always full of surprises.,The American Sector,2
Suggest a restaurant that's always full of surprises.,Irene's,2
Suggest a restaurant that's always full of surprises.,Wayfare,3
Suggest a restaurant that's always full of surprises.,Shaya,3
Suggest a restaurant that's always full of surprises.,Saffron nola,3
Suggest a restaurant that's always full of surprises.,Mizado Latin Kitchen,3
Suggest a restaurant that's always full of surprises.,Meauxbar,3
Suggest a restaurant that's always full of surprises.,Maypop Restaurant,3
Suggest a restaurant that's always full of surprises.,La Petite Grocery,2
Suggest a restaurant that's always full of surprises.,Boswell's Jamaican Grill,2
Suggest a restaurant that's always full of surprises.,Brown Butter Southern Kitchen & Bar,2
Suggest a restaurant that's always full of surprises.,Gyu-Kaku Japanese BBQ,2
Suggest a restaurant that's always full of surprises.,The Grill,3
Suggest a restaurant that's always full of surprises.,Kin,3
Suggest a restaurant that's always full of surprises.,Clancy's Restaurant,3
Suggest a restaurant that's always full of surprises.,Sofia,2
Suggest a restaurant that's always full of surprises.,Vincent's Italian Cuisine,2
Suggest a restaurant that's always full of surprises.,Ye Olde College Inn,2
Suggest a restaurant that's always full of surprises.,Jacques-Imo's Cafe,3
Suggest a restaurant that's always full of surprises.,Meril,2
Suggest a restaurant that's always full of surprises.,Dante's Kitchen,3
Suggest a restaurant that's always full of surprises.,Criollo Restaurant,2
Suggest a restaurant that's always full of surprises.,Chophouse New Orleans,2
Suggest a restaurant that's always full of surprises.,The Gallery Venue at Tomas Bistro,2
Suggest a restaurant that's always full of surprises.,Tommy's Cuisine,2
Suggest a restaurant that's always full of surprises.,Ruby Slipper Cafe,2
Suggest a restaurant that's always full of surprises.,Emeril's Delmonico,2
Suggest a restaurant that's always full of surprises.,Trinity Restaurant New Orleans,3
Suggest a restaurant that's always full of surprises.,SoBou,3
Suggest a restaurant that's always full of surprises.,Cavan,3
Suggest a restaurant that's always full of surprises.,Café Amelie,2
Suggest a restaurant that's always full of surprises.,The Steakhouse,1
Suggest a restaurant that's always full of surprises.,Borgne,2
Suggest a restaurant that's always full of surprises.,Annunciation,2
Suggest a restaurant that's always full of surprises.,High Hat Cafe,2
Suggest a restaurant that's always full of surprises.,Adolfo's,2
Suggest a restaurant that's always full of surprises.,Nirvana Indian Cuisine,2
Suggest a restaurant that's always full of surprises.,Toups Meatery,3
Suggest a restaurant that's always full of surprises.,The Court of Two Sisters,2
Suggest a restaurant that's always full of surprises.,Galatoire's Restaurant,2
Suggest a restaurant that's always full of surprises.,Jack Rose,3
Suggest a restaurant that's always full of surprises.,Mr John's Steakhouse,2
Suggest a restaurant that's always full of surprises.,Cochon,3
Suggest a restaurant that's always full of surprises.,Eat New Orleans,2
Suggest a restaurant that's always full of surprises.,New Orleans Hamburger & Seafood Co,2
Suggest a restaurant that's always full of surprises.,Justine,3
Suggest a restaurant that's always full of surprises.,Charcoal's Gourmet Burger Bar,2
Suggest a restaurant that's always full of surprises.,Nolé,2
Suggest a restaurant that's always full of surprises.,SukhoThai,2
Suggest a restaurant that's always full of surprises.,Santa Fe,2
Suggest a restaurant that's always full of surprises.,N 7,3
Suggest a restaurant that's always full of surprises.,Salú Bistro and Bar,2
Suggest a restaurant that's always full of surprises.,Commander's Palace,3
Suggest a restaurant that's always full of surprises.,GG's Dine-O-Rama,2
Suggest a restaurant that's always full of surprises.,Tujague's Restaurant,2
Suggest a restaurant that's always full of surprises.,La Crepe Nanou,2
Suggest a restaurant that's always full of surprises.,Mayas,2
Suggest a restaurant that's always full of surprises.,New Orleans School of Cooking,3
Suggest a restaurant that's always full of surprises.,Red Dog Diner,2
Suggest a restaurant that's always full of surprises.,Saba,3
Suggest a restaurant that's always full of surprises.,The Camellia Grill,3
Suggest a restaurant that's always full of surprises.,Rebellion Bar & Urban Kitchen,2
Suggest a restaurant that's always full of surprises.,Angeline,2
Suggest a restaurant that's always full of surprises.,The Italian Barrel,2
Suggest a restaurant that's always full of surprises.,Another Broken Egg Cafe,2
Suggest a restaurant that's always full of surprises.,Marcello's Restaurant & Wine Bar,2
Suggest a restaurant that's always full of surprises.,Restaurant Rebirth,3
Suggest a restaurant that's always full of surprises.,Little Korea BBQ,2
Suggest a restaurant that's always full of surprises.,Atchafalaya Restaurant,3
Suggest a restaurant that's always full of surprises.,Muriel's Jackson Square,3
Suggest a restaurant that's always full of surprises.,Arabella Casa Di Pasta,2
Suggest a restaurant that's always full of surprises.,Heard Dat Kitchen,3
Suggest a restaurant that's always full of surprises.,Dat Dog,3
Suggest a restaurant that's always full of surprises.,Briquette,2
Suggest a restaurant that's always full of surprises.,The Pelican Club,2
Suggest a restaurant that's always full of surprises.,NOLA Restaurant,2
Suggest a restaurant that's always full of surprises.,Pêche,2
Suggest a restaurant that's always full of surprises.,Cafe Sbisa,2
Suggest a restaurant that's always full of surprises.,Ralph's on the Park,2
Suggest a restaurant that's always full of surprises.,GW Fins,3
Suggest a restaurant that's always full of surprises.,Palace Café,2
Suggest a restaurant that's always full of surprises.,Fogo de Chão Brazilian Steakhouse,2
Suggest a restaurant that's always full of surprises.,Cafe Abyssinia,2
Suggest a restaurant that's always full of surprises.,Taqueria Guerrero,1
Suggest a restaurant that's always full of surprises.,Galatoire's 33 Bar & Steak,2
Suggest a restaurant that's always full of surprises.,1000 Figs,2
