Query,Restaurant,Relevance Score
Where can I go for a quiet dinner that feels like an escape?,Zavino,2
Where can I go for a quiet dinner that feels like an escape?,XIX Nineteen,3
Where can I go for a quiet dinner that feels like an escape?,Harp & Crown,2
Where can I go for a quiet dinner that feels like an escape?,Vintage Wine Bar,3
Where can I go for a quiet dinner that feels like an escape?,Panorama,2
Where can I go for a quiet dinner that feels like an escape?,Positano Coast by Aldo Lamberti,3
Where can I go for a quiet dinner that feels like an escape?,The Farmers' Cabinet,2
Where can I go for a quiet dinner that feels like an escape?,La Viola,1
Where can I go for a quiet dinner that feels like an escape?,Tredici Enoteca,2
Where can I go for a quiet dinner that feels like an escape?,Friday Saturday Sunday,3
Where can I go for a quiet dinner that feels like an escape?,Bistro Romano,3
Where can I go for a quiet dinner that feels like an escape?,Mercato BYOB,2
Where can I go for a quiet dinner that feels like an escape?,Bistrot La Minette,3
Where can I go for a quiet dinner that feels like an escape?,Audrey Claire,1
Where can I go for a quiet dinner that feels like an escape?,Twenty Manning,2
Where can I go for a quiet dinner that feels like an escape?,Butcher and Singer,3
Where can I go for a quiet dinner that feels like an escape?,The Continental Mid-town,2
Where can I go for a quiet dinner that feels like an escape?,Serpico,2
Where can I go for a quiet dinner that feels like an escape?,Porta,0
Where can I go for a quiet dinner that feels like an escape?,Harper's Garden,3
Where can I go for a quiet dinner that feels like an escape?,Rose Tattoo Cafe,3
Where can I go for a quiet dinner that feels like an escape?,Del Frisco's Double Eagle Steakhouse,2
Where can I go for a quiet dinner that feels like an escape?,The Victor Cafe,3
Where can I go for a quiet dinner that feels like an escape?,Melograno,2
Where can I go for a quiet dinner that feels like an escape?,La Locanda Del Ghiottone,2
Where can I go for a quiet dinner that feels like an escape?,The Good King Tavern,3
Where can I go for a quiet dinner that feels like an escape?,a.kitchen,2
Where can I go for a quiet dinner that feels like an escape?,Supper,2
Where can I go for a quiet dinner that feels like an escape?,Marrakesh,3
Where can I go for a quiet dinner that feels like an escape?,Silk City Diner & Lounge,1
Where can I go for a quiet dinner that feels like an escape?,Pub & Kitchen,1
Where can I go for a quiet dinner that feels like an escape?,Tria Cafe Rittenhouse,2
Where can I go for a quiet dinner that feels like an escape?,Double Knot,3
Where can I go for a quiet dinner that feels like an escape?,South,3
Where can I go for a quiet dinner that feels like an escape?,Lolita,2
Where can I go for a quiet dinner that feels like an escape?,Davios,3
Where can I go for a quiet dinner that feels like an escape?,Talula's Garden,3
Where can I go for a quiet dinner that feels like an escape?,Pumpkin,2
Where can I go for a quiet dinner that feels like an escape?,The Love,3
Where can I go for a quiet dinner that feels like an escape?,Laurel,3
Where can I go for a quiet dinner that feels like an escape?,Fond,2
Where can I go for a quiet dinner that feels like an escape?,R2L,3
Where can I go for a quiet dinner that feels like an escape?,Opa,2
Where can I go for a quiet dinner that feels like an escape?,Alma de Cuba,3
Where can I go for a quiet dinner that feels like an escape?,Lacroix Restaurant at The Rittenhouse,3
Where can I go for a quiet dinner that feels like an escape?,Time,3
Where can I go for a quiet dinner that feels like an escape?,Wm Mulherin's Sons,2
Where can I go for a quiet dinner that feels like an escape?,Amis Trattoria,1
Where can I go for a quiet dinner that feels like an escape?,The Dandelion,3
Where can I go for a quiet dinner that feels like an escape?,Sbraga,2
Where can I go for a quiet dinner that feels like an escape?,Little Fish,3
Where can I go for a quiet dinner that feels like an escape?,La Peg,1
Where can I go for a quiet dinner that feels like an escape?,Vetri Cucina,3
Where can I go for a quiet dinner that feels like an escape?,Barclay Prime,3
Where can I go for a quiet dinner that feels like an escape?,Jamonera,2
Where can I go for a quiet dinner that feels like an escape?,Tria Cafe Wash West,3
Where can I go for a quiet dinner that feels like an escape?,Square 1682,2
Where can I go for a quiet dinner that feels like an escape?,Jake's & Cooper's Wine Bar & Wine Shop,2
Where can I go for a quiet dinner that feels like an escape?,Tria Taproom,2
Where can I go for a quiet dinner that feels like an escape?,Sassafras Bar,3
Where can I go for a quiet dinner that feels like an escape?,Estia,2
Where can I go for a quiet dinner that feels like an escape?,The Continental Restaurant and Martini Bar,2
