Query,Restaurant,Relevance Score
Suggest a restaurant that's always full of surprises.,Lacroix Restaurant at The Rittenhouse,3
Suggest a restaurant that's always full of surprises.,Laurel,3
Suggest a restaurant that's always full of surprises.,Supper,2
Suggest a restaurant that's always full of surprises.,Sbraga,3
Suggest a restaurant that's always full of surprises.,Serpico,3
Suggest a restaurant that's always full of surprises.,Marigold Kitchen,3
Suggest a restaurant that's always full of surprises.,Matyson,3
Suggest a restaurant that's always full of surprises.,Spice Finch,3
Suggest a restaurant that's always full of surprises.,Vetri Cucina,3
Suggest a restaurant that's always full of surprises.,Chifa,3
Suggest a restaurant that's always full of surprises.,a.kitchen,2
Suggest a restaurant that's always full of surprises.,Fond,3
Suggest a restaurant that's always full of surprises.,Distrito,3
Suggest a restaurant that's always full of surprises.,Tashan,3
Suggest a restaurant that's always full of surprises.,Russet,3
Suggest a restaurant that's always full of surprises.,Friday Saturday Sunday,3
Suggest a restaurant that's always full of surprises.,Lolita,2
Suggest a restaurant that's always full of surprises.,Kanella,2
Suggest a restaurant that's always full of surprises.,Little Fish,3
Suggest a restaurant that's always full of surprises.,Fork,3
Suggest a restaurant that's always full of surprises.,Zahav,3
Suggest a restaurant that's always full of surprises.,Han Dynasty,3
Suggest a restaurant that's always full of surprises.,Vedge,3
Suggest a restaurant that's always full of surprises.,Bistrot La Minette,2
Suggest a restaurant that's always full of surprises.,Bibou,3
Suggest a restaurant that's always full of surprises.,The Continental Mid-town,3
Suggest a restaurant that's always full of surprises.,Abe Fisher,3
Suggest a restaurant that's always full of surprises.,Double Knot,3
Suggest a restaurant that's always full of surprises.,Tinto,3
Suggest a restaurant that's always full of surprises.,Jamonera,2
Suggest a restaurant that's always full of surprises.,Garces Trading Company,3
Suggest a restaurant that's always full of surprises.,Harp & Crown,2
Suggest a restaurant that's always full of surprises.,Stateside,3
Suggest a restaurant that's always full of surprises.,Butcher and Singer,2
Suggest a restaurant that's always full of surprises.,Vernick Food & Drink,3
Suggest a restaurant that's always full of surprises.,Marrakesh,3
Suggest a restaurant that's always full of surprises.,Amada,2
Suggest a restaurant that's always full of surprises.,Sampan,3
Suggest a restaurant that's always full of surprises.,Talula's Daily,3
Suggest a restaurant that's always full of surprises.,Mercato BYOB,2
