Query,City,Relevance Score
Cities with rich literary history,London,3
Cities with rich literary history,"Washington, D.C.",3
Cities with rich literary history,Bristol,2
Cities with rich literary history,Boston,3
Cities with rich literary history,Chicago,3
Cities with rich literary history,Edinburgh,3
Cities with rich literary history,Paris,3
Cities with rich literary history,Charlotte,2
Cities with rich literary history,Rochester (New York),2
Cities with rich literary history,Dublin,3
Cities with rich literary history,Los Angeles,2
Cities with rich literary history,Sydney,2
Cities with rich literary history,Birmingham,3
Cities with rich literary history,Portland (Oregon),2
Cities with rich literary history,Adelaide,2
Cities with rich literary history,Wellington,2
Cities with rich literary history,San Francisco,3
Cities with rich literary history,Denver,2
Cities with rich literary history,Philadelphia,3
Cities with rich literary history,New York City,3
Cities with rich literary history,Milwaukee,2
Cities with rich literary history,Toronto,3
Cities with rich literary history,Albany (New York),2
Cities with rich literary history,Buffalo,2
Cities with rich literary history,Ottawa,1
Cities with rich literary history,Melbourne,3
Cities with rich literary history,Perth,1
Cities with rich literary history,Madison,1
Cities with rich literary history,Lyon,2
Cities with rich literary history,Rome,3
Cities with rich literary history,Seattle,2
Cities with rich literary history,Vancouver,2
Cities with rich literary history,Venice,3
Cities with rich literary history,Buenos Aires,3
Cities with rich literary history,Montreal,2
Cities with rich literary history,Sacramento,1
Cities with rich literary history,Beirut,2
Cities with rich literary history,Christchurch,2
Cities with rich literary history,Columbus,1
Cities with rich literary history,Hamilton (Ontario),1
Cities with rich literary history,Brisbane,1
Cities with rich literary history,Manchester,3
Cities with rich literary history,Edmonton,2
Cities with rich literary history,New Orleans,2
Cities with rich literary history,Cape Town,1
Cities with rich literary history,Canberra,2
Cities with rich literary history,Bangalore,2
Cities with rich literary history,Detroit,2
Cities with rich literary history,Barcelona,2
Cities with rich literary history,Louisville,2
Cities with rich literary history,Ithaca (New York),2
Cities with rich literary history,Bogota虂,3
Cities with rich literary history,Calgary,2
Cities with rich literary history,Hong Kong,2
Cities with rich literary history,Medelli虂n,2
Cities with rich literary history,Salt Lake City,1
Cities with rich literary history,Champaign-Urbana,3
Cities with rich literary history,Binghamton,2
Cities with rich literary history,Charlottesville,3
Cities with rich literary history,Athens,3
Cities with rich literary history,Sa虄o Paulo,2
Cities with rich literary history,Florence,3
Cities with rich literary history,Queenstown (New Zealand),0
Cities with rich literary history,Baltimore,2
Cities with rich literary history,Amsterdam,2
Cities with rich literary history,Burlington (Vermont),1
Cities with rich literary history,Cleveland,2
Cities with rich literary history,Pittsburgh,1
Cities with rich literary history,Cairo,2
Cities with rich literary history,Stockholm,2
Cities with rich literary history,Penticton,2
Cities with rich literary history,Belfast,3
Cities with rich literary history,Milan,2
Cities with rich literary history,Aarhus,2
Cities with rich literary history,Kansas City,2
Cities with rich literary history,Lexington (Kentucky),2
Cities with rich literary history,Tel Aviv,2
Cities with rich literary history,Indianapolis,3
Cities with rich literary history,Des Moines,1
Cities with rich literary history,Frankfurt,2
Cities with rich literary history,Johannesburg,1
Cities with rich literary history,Pisa,1
Cities with rich literary history,Halifax,1
Cities with rich literary history,Vienna,2
Cities with rich literary history,Austin,2
Cities with rich literary history,Munich,3
Cities with rich literary history,Wilmington (North Carolina),2
Cities with rich literary history,Allentown,1
Cities with rich literary history,Berlin,3
Cities with rich literary history,Providence,2
Cities with rich literary history,Cincinnati,2
Cities with rich literary history,Asheville,2
Cities with rich literary history,Aberdeen,2
Cities with rich literary history,"Co虂rdoba (city, Argentina)",2
Cities with rich literary history,Harrisburg,2
Cities with rich literary history,Alexandria,3
Cities with rich literary history,Winnipeg,2
Cities with rich literary history,Bucharest,2
Cities with rich literary history,Verona,3
Cities with rich literary history,Shanghai,2
Cities with rich literary history,Portland (Maine),2
Cities with rich literary history,Savannah,3
Cities with rich literary history,Gaspe虂,1
Cities with rich literary history,Atlanta,2
Cities with rich literary history,Helsinki,1
Cities with rich literary history,Nice,2
Cities with rich literary history,Phoenix,1
Cities with rich literary history,Eugene,2
Cities with rich literary history,Lisbon,2
Cities with rich literary history,Madrid,2
Cities with rich literary history,Newark (New Jersey),2
Cities with rich literary history,Memphis,2
Cities with rich literary history,Brussels,2
Cities with rich literary history,Mumbai,2
Cities with rich literary history,Budapest,2
Cities with rich literary history,Thessaloniki,1
