Query,City,Relevance Score
Cities with unique architectural styles,Venice,3
Cities with unique architectural styles,Rome,3
Cities with unique architectural styles,Naples,3
Cities with unique architectural styles,Milan,2
Cities with unique architectural styles,"Co虂rdoba (city, Argentina)",3
Cities with unique architectural styles,Mexico City,3
Cities with unique architectural styles,Sa虄o Paulo,2
Cities with unique architectural styles,Bologna,3
Cities with unique architectural styles,Rio de Janeiro,3
Cities with unique architectural styles,Genoa,3
Cities with unique architectural styles,Lisbon,3
Cities with unique architectural styles,Florence,3
Cities with unique architectural styles,Manila,2
Cities with unique architectural styles,Bucharest,2
Cities with unique architectural styles,Madrid,3
Cities with unique architectural styles,Porto,3
Cities with unique architectural styles,Valencia,3
Cities with unique architectural styles,Catania,3
Cities with unique architectural styles,Me虂rida (Mexico),3
Cities with unique architectural styles,Recife,2
Cities with unique architectural styles,Trieste,3
Cities with unique architectural styles,Cagliari,2
Cities with unique architectural styles,Turin,3
Cities with unique architectural styles,Trabzon,3
Cities with unique architectural styles,Sarajevo,3
Cities with unique architectural styles,Vienna,3
Cities with unique architectural styles,Kos虒ice,3
Cities with unique architectural styles,Caracas,2
Cities with unique architectural styles,Pisa,3
Cities with unique architectural styles,Fortaleza,3
Cities with unique architectural styles,Tokyo,3
Cities with unique architectural styles,Istanbul,3
Cities with unique architectural styles,Timis苔oara,3
Cities with unique architectural styles,Paris,3
Cities with unique architectural styles,Lyon,3
Cities with unique architectural styles,Verona,3
Cities with unique architectural styles,Palermo,3
Cities with unique architectural styles,Buenos Aires,3
Cities with unique architectural styles,Brasilia,3
Cities with unique architectural styles,Thessaloniki,3
Cities with unique architectural styles,Amsterdam,3
Cities with unique architectural styles,Montevideo,2
Cities with unique architectural styles,Asuncio虂n,2
Cities with unique architectural styles,Guadalajara,2
Cities with unique architectural styles,Medelli虂n,3
Cities with unique architectural styles,Bilbao,3
Cities with unique architectural styles,Seville,3
Cities with unique architectural styles,Athens,3
Cities with unique architectural styles,Bari,3
Cities with unique architectural styles,San Francisco,3
Cities with unique architectural styles,Cartagena (Colombia),3
Cities with unique architectural styles,Vito虂ria,2
Cities with unique architectural styles,Santo Domingo,3
Cities with unique architectural styles,Budapest,3
Cities with unique architectural styles,Mumbai,3
Cities with unique architectural styles,Barcelona,3
Cities with unique architectural styles,Bogota虂,2
Cities with unique architectural styles,Florianopolis,1
Cities with unique architectural styles,Munich,3
Cities with unique architectural styles,Dresden,3
Cities with unique architectural styles,Belgrade,2
Cities with unique architectural styles,Belo Horizonte,2
Cities with unique architectural styles,Monterrey,2
Cities with unique architectural styles,Vilnius,3
Cities with unique architectural styles,San Salvador,2
