,eqr,q2e,q2d
Where can I find hotels that combine adventure and relaxation?,1.0,1.0,0.75
Recommend a hotel with the best poolside service.,0.9583333333333334,0.9083333333333333,0.8666666666666666
Which hotels offer the best opportunities for socializing?,0.9285714285714286,0.8785714285714286,0.9107142857142857
What are some hotels that are great for slow mornings?,0.9166666666666666,0.8541666666666666,0.8541666666666666
Where can I find hotels with great rooftop bars?,0.8614130434782609,0.8722826086956521,0.8722826086956521
Suggest a hotel with the best spa services.,0.84375,0.875,0.84375
Where can I stay with beautiful waterfront views?,0.8426344896933132,0.8904600301659126,0.823403720462544
Where should I stay during a creative block?,0.7916666666666666,0.8375,0.8541666666666666
Looking for a hotel with creative spaces and an artsy vibe.,0.84375,0.8541666666666667,0.7604166666666666
Recommend a hotel with a lively atmosphere.,0.7964285714285714,0.8535714285714285,0.8
Where can I stay for the best sunrise or sunset views?,0.8055555555555556,0.8611111111111112,0.7777777777777778
Suggest a hotel that complements a journaling or reflection-focused trip.,0.8285714285714286,0.8785714285714286,0.6928571428571428
Where can I stay that fits a minimalist travel style?,0.5952380952380952,0.9583333333333334,0.8392857142857143
Where can I find hotels with a unique architectural design?,0.784375,0.825,0.7772727272727272
Suggest a hotel that works well for working remotely.,0.8055555555555556,0.7142857142857143,0.861111111111111
Suggest a hotel that's perfect for art lovers.,0.7767857142857143,0.7767857142857143,0.7678571428571428
Where can I stay that feels youthful and energetic?,0.7648648648648649,0.7918918918918919,0.7440315315315316
What are the best hotels for wellness and relaxation?,0.753968253968254,0.7817460317460316,0.7192460317460316
Where can I stay that fits well with a photography-heavy trip?,0.825,0.775,0.65
Where can I stay that works well with young kids and no fuss?,0.7388111888111888,0.7388111888111888,0.7484459984459984
What are some of the best hotels for gourmet lovers?,0.7678571428571428,0.7678571428571428,0.6845238095238095
Recommend a hotel with great family-friendly amenities.,0.7697821891370278,0.7400465424658973,0.7059323591581655
Recommend a pet-friendly hotel.,0.7210433244916004,0.7641467727674625,0.7210433244916004
Where can I stay near the best art museums?,0.744281045751634,0.7508169934640523,0.6984665661136249
Where can I stay that works for multiple generations?,0.722168859275831,0.7350144687887556,0.7302604381976023
I want a hotel that makes me feel like I’m in a movie.,0.7421875,0.8234375,0.6146634615384615
What are the top boutique hotels?,0.6935761119971646,0.7533404217614744,0.7117579301789827
Where can I stay to fully experience the nightlife of a city?,0.687718253968254,0.7316071428571429,0.7287896825396825
What are the top hotels for a scenic retreat?,0.6361111111111111,0.7638888888888888,0.7416666666666666
Recommend a hotel that keeps surprising me every day.,0.7944711538461539,0.7788461538461539,0.5649038461538461
Where should I stay for easy airport access?,0.6895833333333333,0.7095833333333333,0.7358333333333333
Suggest a hotel with a magical ambiance.,0.765625,0.7864583333333334,0.5364583333333334
"Recommend a hotel with a nostalgic, vintage vibe.",0.671875,0.7611607142857143,0.6324404761904763
What are the best hotels for exploring hidden gems in a city?,0.6625,0.7125,0.6767857142857143
Recommend a place where I won't feel like a tourist.,0.6954106280193237,0.7117149758454107,0.6257246376811594
Where can I stay to get the best of both city and nature?,0.6956521739130436,0.6956521739130436,0.6413043478260869
Recommend a hotel that works well for traveling with teenagers.,0.6555706521739131,0.6992927814938684,0.6725717670011148
Suggest a hotel with excellent fine dining.,0.6886724386724388,0.656926406926407,0.6689213564213564
Where should I stay that matches a high-energy trip?,0.6452020202020202,0.6441197691197691,0.7135642135642135
Where can I stay if I'm traveling with elderly parents?,0.6333333333333333,0.6708333333333333,0.6708333333333333
Recommend a hotel that works well for group celebrations.,0.6095238095238095,0.6619047619047619,0.661904761904762
Suggest a hotel where I can just go with the flow.,0.6011679292929293,0.6725063131313131,0.6341540404040404
Recommend a place for a solo birthday trip.,0.6190404040404041,0.6176767676767677,0.6394444444444445
Where can I stay to avoid the tourist rush without going remote?,0.6243271221532091,0.6085403726708074,0.6359213250517598
Where can I find a hotel that balances luxury and affordability?,0.5134486310473153,0.5769952817650186,0.6310888490164805
Recommend a hotel for travellers who just want to people-watch.,0.55625,0.5796875,0.56875
Recommend a hotel that matches a slower travel rhythm.,0.7053571428571428,0.5267857142857143,0.44345238095238093
What hotels are affordable but don't feel basic?,0.5437193498668909,0.5864841670169538,0.5274712764466862
Recommend a hotel that feels intimate and private.,0.5540397919507145,0.620241882543049,0.48094480634247333
Suggest a hotel that doesn't feel too polished.,0.5485576923076924,0.5045673076923077,0.5100961538461538
AVERAGE,0.7283998600362466,0.7507644498935074,0.7024625219073214
